y time id
3 5 148
4 6 148
5 7 148
5 8 148
2 9 148
8 10 148
5 11 148
6 12 148
3 13 148
2 14 148
3 15 148
2 1 149
1 2 149
1 3 149
1 4 149
2 5 149
1 6 149
0 7 149
0 8 149
5 9 149
3 10 149
7 11 149
4 12 149
1 13 149
2 14 149
1 15 149
0 1 150
0 2 150
1 3 150
0 4 150
0 5 150
0 6 150
0 7 150
0 8 150
0 9 150
0 10 150
0 11 150
0 12 150
0 13 150
1 14 150
1 15 150
0 1 151
2 2 151
1 3 151
2 4 151
1 5 151
2 6 151
1 7 151
1 8 151
1 9 151
1 10 151
1 11 151
1 12 151
1 13 151
1 14 151
1 15 151
2 1 152
0 2 152
0 3 152
1 4 152
0 5 152
1 6 152
0 7 152
0 8 152
0 9 152
